unitTitle,title,description,order,icon
"Chapter 1: Rational Numbers","Introduction","Introduction to rational numbers.",1,"BookOpen"
"Chapter 1: Rational Numbers","Properties of Rational Numbers","Properties like closure, commutativity, and associativity.",2,"Sparkles"
"Chapter 1: Rational Numbers","Representation of Rational Numbers on the Number Line","How to represent rational numbers on a number line.",3,"Ruler"
"Chapter 1: Rational Numbers","Rational Number between Two Rational Numbers","Finding rational numbers between any two given rational numbers.",4,"Scale"
"Chapter 2: Linear Equations in One Variable","Introduction","Introduction to linear equations in one variable.",1,"BookOpen"
"Chapter 2: Linear Equations in One Variable","Solving Equations which have Linear Expressions on one Side and Numbers on the other Side","Solving simple linear equations with numbers on one side.",2,"Equal"
"Chapter 2: Linear Equations in One Variable","Some Applications","Practical application and word problems for linear equations.",3,"Target"
"Chapter 2: Linear Equations in One Variable","Solving Equations having the Variable on both sides","Solving equations where the variable appears on both sides.",4,"Variable"
"Chapter 2: Linear Equations in One Variable","Some More Applications","Advanced application and complex word problems.",5,"Target"
"Chapter 2: Linear Equations in One Variable","Reducing Equations to Simpler Form","Reducing complex linear equations to simpler forms.",6,"Divide"
"Chapter 2: Linear Equations in One Variable","Equations Reducible to the Linear Form","Solving equations that can be reduced to linear form.",7,"Split"
"Chapter 3: Understanding Quadrilaterals","Introduction","Introduction to quadrilaterals and curves.",1,"BookOpen"
"Chapter 3: Understanding Quadrilaterals","Polygons","Classification of polygons, diagonals, and angle sum property.",2,"Hexagon"
"Chapter 3: Understanding Quadrilaterals","Some of the Measures of the Exterior Angles of a Polygon","Understanding the sum of measures of exterior angles.",3,"Triangle"
"Chapter 3: Understanding Quadrilaterals","Kinds of Quadrilaterals","Types of quadrilaterals like trapezium, kite, parallelogram.",4,"Square"
"Chapter 3: Understanding Quadrilaterals","Some Special Parallelograms","Properties of rhombus, rectangle, and square.",5,"Pentagon"
"Chapter 4: Practical Geometry","Introduction","Introduction to practical geometric constructions.",1,"BookOpen"
"Chapter 4: Practical Geometry","Constructing a Quadrilateral","Constructing quadrilaterals with various given parameters.",2,"Ruler"
"Chapter 4: Practical Geometry","Some Special Cases","Constructing special types of quadrilaterals.",3,"Sparkles"
